"rep","setting","mech","n","cens","q","method","cclip","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
1,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,4.68080313488144,4.8106467264162,169.982427263204,0.643143941330234,0,Inf,0.973009119372296,NA
1,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,4.68080313488144,4.8106467264162,169.982427263204,0.643143941330234,0,Inf,0.973009119372296,NA
1,"A","C1",600,0.2,0.95,"Clip-IPCW",1.92365183312401,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.92365183312401,2.03947246858557,180.87026231441,0.572962320207448,0.0687830687830688,1.92365183312401,0.943210493279235,NA
1,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.92365183312401,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.92365183312401,2.03947246858557,180.87026231441,0.572962320207448,0.0687830687830688,1.92365183312401,0.943210493279235,NA
1,"A","C1",600,0.2,0.9,"Clip-IPCW",1.45924845777009,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.45924845777009,1.60394906995782,185.784396132367,0.541332625737566,0.126984126984127,1.45924845777009,0.909784783757792,NA
1,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.45924845777009,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.45924845777009,1.60394906995782,185.784396132367,0.541332625737566,0.126984126984127,1.45924845777009,0.909784783757792,NA
1,"A","C1",600,0.2,0.85,"Clip-IPCW",1.32940878043097,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.32940878043097,1.48602671276678,187.021150769012,0.53335033010245,0.185185185185185,1.32940878043097,0.894606246987168,NA
1,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.32940878043097,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.32940878043097,1.48602671276678,187.021150769012,0.53335033010245,0.185185185185185,1.32940878043097,0.894606246987168,NA
1,"A","C1",600,0.2,0.8,"Clip-IPCW",1.2385968982827,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.2385968982827,1.40786165450206,187.825830054274,0.528149394500008,0.243386243386243,1.2385968982827,0.879771740583965,NA
1,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.2385968982827,0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.2385968982827,1.40786165450206,187.825830054274,0.528149394500008,0.243386243386243,1.2385968982827,0.879771740583965,NA
2,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,7.06244724331112,7.43247621509394,160.941787697323,0.702337333941831,0,Inf,0.950214577070377,NA
2,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.08,0.9075,0,0.00749999999999995,0.383902191108411,0.253571144233332,-1.36295297499248,0.9,7.06244724331112,7.43247621509394,160.941787697323,0.702337333941831,0,Inf,0.950214577070377,NA
2,"A","C1",600,0.2,0.95,"Clip-IPCW",2.00611474308472,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,2.00611474308472,2.18818291286089,184.438346236247,0.550007539132114,0.03125,2.00611474308472,0.916794812396135,NA
2,"A","C1",600,0.2,0.95,"Clip-AIPCW",2.00611474308472,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,2.00611474308472,2.18818291286089,184.438346236247,0.550007539132114,0.03125,2.00611474308472,0.916794812396135,NA
2,"A","C1",600,0.2,0.9,"Clip-IPCW",1.54132393602492,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.54132393602492,1.71110477897474,187.639328099863,0.529355392095769,0.078125,1.54132393602492,0.900777062260588,NA
2,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.54132393602492,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.54132393602492,1.71110477897474,187.639328099863,0.529355392095769,0.078125,1.54132393602492,0.900777062260588,NA
2,"A","C1",600,0.2,0.85,"Clip-IPCW",1.34028474358375,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.34028474358375,1.52061160180187,189.800436326294,0.515356832623359,0.145833333333333,1.34028474358375,0.881411625424641,NA
2,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.34028474358375,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.34028474358375,1.52061160180187,189.800436326294,0.515356832623359,0.145833333333333,1.34028474358375,0.881411625424641,NA
2,"A","C1",600,0.2,0.8,"Clip-IPCW",1.22184258655392,0.08,0.9075,0,0.00749999999999995,0.383902191108411,0.253571144233332,-1.36295297499248,0.9,1.22184258655392,1.41186081356634,190.924125682963,0.508054483068392,0.192708333333333,1.22184258655392,0.865412918053562,NA
2,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.22184258655392,0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.22184258655392,1.41186081356634,190.924125682963,0.508054483068392,0.192708333333333,1.22184258655392,0.865412918053562,NA
3,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.13,0.8665,0.0335,0.0335,0.497538330153786,0.359032166270791,-1.02792483382377,0.838,10.7771832760677,10.4337112599217,122.905811485333,0.978110974348568,0,Inf,1.03291944808415,NA
3,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.01,0.992,0,0.092,0.109374545866613,0.0789265424539981,-2.54281924039734,0.986,10.7771832760677,10.4337112599217,122.905811485333,0.978110974348568,0,Inf,1.03291944808415,NA
3,"A","C1",600,0.2,0.95,"Clip-IPCW",1.81683381477188,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.81683381477188,1.91529238042086,188.489601393817,0.523854196946054,0.041025641025641,1.81683381477188,0.948593454108895,NA
3,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.81683381477188,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.81683381477188,1.91529238042086,188.489601393817,0.523854196946054,0.041025641025641,1.81683381477188,0.948593454108895,NA
3,"A","C1",600,0.2,0.9,"Clip-IPCW",1.44440766309056,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.44440766309056,1.55884637460566,191.585019398687,0.503750833610143,0.133333333333333,1.44440766309056,0.92658756284175,NA
3,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.44440766309056,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.44440766309056,1.55884637460566,191.585019398687,0.503750833610143,0.133333333333333,1.44440766309056,0.92658756284175,NA
3,"A","C1",600,0.2,0.85,"Clip-IPCW",1.34639439889012,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.34639439889012,1.47155312053125,192.608819876084,0.497069764603509,0.169230769230769,1.34639439889012,0.914947873851846,NA
3,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.34639439889012,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.34639439889012,1.47155312053125,192.608819876084,0.497069764603509,0.169230769230769,1.34639439889012,0.914947873851846,NA
3,"A","C1",600,0.2,0.8,"Clip-IPCW",1.25200228514933,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.25200228514933,1.39020798513816,193.51909325764,0.491113707552521,0.235897435897436,1.25200228514933,0.900586314086595,NA
3,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.25200228514933,0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.25200228514933,1.39020798513816,193.51909325764,0.491113707552521,0.235897435897436,1.25200228514933,0.900586314086595,NA
4,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,5.30931301369584,5.57825423243995,161.129279134748,0.701095764481929,0,Inf,0.951787565152533,NA
4,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,5.30931301369584,5.57825423243995,161.129279134748,0.701095764481929,0,Inf,0.951787565152533,NA
4,"A","C1",600,0.2,0.95,"Clip-IPCW",1.7970026191454,0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,1.7970026191454,1.98252462051131,181.671613140466,0.567810104755997,0.0531914893617021,1.7970026191454,0.906421338001813,NA
4,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.7970026191454,0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,1.7970026191454,1.98252462051131,181.671613140466,0.567810104755997,0.0531914893617021,1.7970026191454,0.906421338001813,NA
4,"A","C1",600,0.2,0.9,"Clip-IPCW",1.44390037926115,0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.44390037926115,1.63229324238999,184.948476015211,0.546721263146574,0.101063829787234,1.44390037926115,0.88458393489824,NA
4,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.44390037926115,0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,1.44390037926115,1.63229324238999,184.948476015211,0.546721263146574,0.101063829787234,1.44390037926115,0.88458393489824,NA
4,"A","C1",600,0.2,0.85,"Clip-IPCW",1.32329213991876,0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.32329213991876,1.51672401192788,186.040047701318,0.539683608667453,0.148936170212766,1.32329213991876,0.87246732399044,NA
4,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.32329213991876,0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.32329213991876,1.51672401192788,186.040047701318,0.539683608667453,0.148936170212766,1.32329213991876,0.87246732399044,NA
4,"A","C1",600,0.2,0.8,"Clip-IPCW",1.22316401157888,0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.22316401157888,1.42474794403623,186.88590990045,0.53422383871722,0.207446808510638,1.22316401157888,0.858512564765476,NA
4,"A","C1",600,0.2,0.8,"Clip-AIPCW",1.22316401157888,0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.22316401157888,1.42474794403623,186.88590990045,0.53422383871722,0.207446808510638,1.22316401157888,0.858512564765476,NA
5,"A","C1",600,0.2,1,"Clip-IPCW",Inf,0.1,0.903,0,0.003,0.427305965435186,0.292225984988059,-1.2381172658257,0.888429752066116,5.76315892013395,5.91997039846704,162.521296920656,0.691898998416124,0,Inf,0.973511442156247,NA
5,"A","C1",600,0.2,1,"Clip-AIPCW",Inf,0.1,0.903,0,0.003,0.427305965435186,0.292225984988059,-1.2381172658257,0.888429752066116,5.76315892013395,5.91997039846704,162.521296920656,0.691898998416124,0,Inf,0.973511442156247,NA
5,"A","C1",600,0.2,0.95,"Clip-IPCW",1.73691737238039,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.73691737238039,1.87076225318219,191.138988087473,0.506656078802105,0.0205128205128205,1.73691737238039,0.928454361010265,NA
5,"A","C1",600,0.2,0.95,"Clip-AIPCW",1.73691737238039,0.1,0.903,0,0.003,0.427305965435186,0.292225984988059,-1.2381172658257,0.888429752066116,1.73691737238039,1.87076225318219,191.138988087473,0.506656078802105,0.0205128205128205,1.73691737238039,0.928454361010265,NA
5,"A","C1",600,0.2,0.9,"Clip-IPCW",1.4575685169015,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.4575685169015,1.58679139913849,192.612440003767,0.497046108077967,0.0666666666666667,1.4575685169015,0.918563408960275,NA
5,"A","C1",600,0.2,0.9,"Clip-AIPCW",1.4575685169015,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.4575685169015,1.58679139913849,192.612440003767,0.497046108077967,0.0666666666666667,1.4575685169015,0.918563408960275,NA
5,"A","C1",600,0.2,0.85,"Clip-IPCW",1.32397457212218,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.32397457212218,1.45448116102386,193.385163210125,0.491991023144116,0.0923076923076923,1.32397457212218,0.910272754024661,NA
5,"A","C1",600,0.2,0.85,"Clip-AIPCW",1.32397457212218,0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.32397457212218,1.45448116102386,193.385163210125,0.491991023144116,0.0923076923076923,1.32397457212218,0.910272754024661,NA
