"q","method","coverage","pac_success","abs_cal_err","med_lpb","ess","max_wt","clipfrac"
1,"Clip-AIPCW",0.898508571428571,0.527142857142857,0.0336457142857143,0.310700151953763,112.157277038686,181.427609606254,0
0.95,"Clip-AIPCW",0.918665714285714,0.772857142857143,0.0251985714285714,0.27643416822859,170.93522631579,3.80015509333194,0.0562797683578728
0.9,"Clip-AIPCW",0.921707857142857,0.812857142857143,0.0268421428571428,0.270153647034918,179.44208795745,2.62381791267394,0.105373658626259
0.85,"Clip-AIPCW",0.923861428571429,0.841428571428571,0.0279042857142857,0.26580652094006,183.865008350469,2.1234466725456,0.156595190026486
0.8,"Clip-AIPCW",0.92545,0.861428571428571,0.0290985714285714,0.262411392339479,186.528443299971,1.84090162283581,0.206070348953465
1,"Clip-IPCW",0.902177142857143,0.622857142857143,0.0301471428571429,0.307529981939507,112.157277038686,181.427609606254,0
0.95,"Clip-IPCW",0.920540714285714,0.791428571428571,0.026305,0.27279438079242,170.93522631579,3.80015509333194,0.0562797683578728
0.9,"Clip-IPCW",0.923732857142857,0.834285714285714,0.0279542857142857,0.265862826630684,179.44208795745,2.62381791267394,0.105373658626259
0.85,"Clip-IPCW",0.925552857142857,0.857142857142857,0.0291314285714286,0.261842480349495,183.865008350469,2.1234466725456,0.156595190026486
0.8,"Clip-IPCW",0.926902142857143,0.865714285714286,0.0302607142857143,0.258724484802095,186.528443299971,1.84090162283581,0.206070348953465
