"method","tau_hat","calibration_moment","clip_c","coverage_ipcw_hajek","coverage_ipcw_ht","observed_y_coverage","coverage_shortfall","abs_calibration_error","pac_success","mean_lpb","median_lpb","mean_log_lpb","sd_lpb","worst_slice_coverage","max_raw_weight","max_normalized_weight","weight_variance","weight_cv","effective_sample_size","clipped_fraction","computation_time_sec","split","n_total","n_train","n_cal","n_test","events_train","events_cal","events_test","censoring_test"
"Naive-Y",0.04,0.0239766081871345,Inf,0.955158280000223,0.571300171247575,0.918604651162791,0,0.055158280000223,1,0.719187596462357,0.634700691065712,-0.425820823922193,0.403776543132913,0.726339823035465,1,1,0,0,171,NA,0.11,1,686,343,171,172,149,80,70,0.593023255813954
"CC",0.04,0.025,Inf,0.955158280000223,0.571300171247575,0.918604651162791,0,0.055158280000223,1,0.719187596462357,0.634700691065712,-0.425820823922193,0.403776543132913,0.726339823035465,1,1,0.250429996560028,1.06966872276915,80,NA,0.0549999999999999,1,686,343,171,172,149,80,70,0.593023255813954
"HT-IPCW",0.1,5.49960576641251e-05,Inf,0.864570356167871,0.517117636811111,0.843023255813954,0.0354296438321294,0.0354296438321294,0,1.38351611353052,1.22098689921487,0.228440385458512,0.776753320604962,0.53891152494568,42.8120434878847,42.8120434878847,17.0565629929108,3.97231825781323,10.24747615298,NA,0.236,1,686,343,171,172,149,80,70,0.593023255813954
"H-IPCW",0.09,0.00123243867252319,Inf,0.874595691046531,0.523113999563672,0.854651162790698,0.0254043089534695,0.0254043089534695,0,1.28168753757302,1.1311206837123,0.151989816698543,0.719583271240212,0.53891152494568,42.8120434878847,41.1779036473234,17.0565629929108,3.97231825781323,10.24747615298,NA,0.0649999999999999,1,686,343,171,172,149,80,70,0.593023255813954
"Stab-IPCW",0.04,0.0273730222722739,Inf,0.955158280000223,0.571300171247575,0.918604651162791,0,0.055158280000223,1,0.719187596462357,0.634700691065712,-0.425820823922193,0.403776543132913,0.726339823035465,2.47277639962734,5.09886913815841,0.297542943036029,1.12477031535976,75.7404637418886,NA,0.0940000000000001,1,686,343,171,172,149,80,70,0.593023255813954
"Clip-IPCW",0.05,0.00239615931586605,1.8296004194047,0.934918041091102,0.559194060462596,0.906976744186046,0,0.0349180410911022,1,0.841917831853335,0.743013133605714,-0.268260638024821,0.472681499819902,0.726339823035465,1.8296004194047,3.29178106188961,0.385965039011694,1.11776028596181,76.2684073734115,0.1,0.0680000000000001,1,686,343,171,172,149,80,70,0.593023255813954
"H-AIPCW",0.01,-0.910482502641903,Inf,1,0.598120943104258,0.965116279069767,0,0.1,1,0.273409163288571,0.241290291624262,-1.39297362085268,0.153501266368544,1,42.8120434878847,41.1779036473234,17.0565629929108,3.97231825781323,10.24747615298,NA,0.157,1,686,343,171,172,149,80,70,0.593023255813954
"Clip-AIPCW",0.04,0.00122352805043578,1.8296004194047,0.955158280000223,0.571300171247575,0.918604651162791,0,0.055158280000223,1,0.719187596462357,0.634700691065712,-0.425820823922193,0.403776543132913,0.726339823035465,1.8296004194047,3.29178106188961,0.385965039011694,1.11776028596181,76.2684073734115,0.1,0.144,1,686,343,171,172,149,80,70,0.593023255813954
"Naive-Y",0.06,0.00643274853801167,Inf,0.939697756624727,0.663928157629296,0.895348837209302,0,0.0396977566247267,1,1.07822552014049,0.848551676825599,-0.194887901065779,1.18504346481028,0.891593019328465,1,1,0,0,171,NA,0.0510000000000002,2,686,343,171,172,152,69,78,0.546511627906977
"CC",0.07,0.027536231884058,Inf,0.931139551622214,0.657881497158017,0.883720930232558,0,0.0311395516222138,1,1.19102512020257,0.951522168576227,-0.0823535537430125,1.21706476619619,0.837093810348514,1,1,0.242105263157895,1.21940826704559,69,NA,0.05,2,686,343,171,172,152,69,78,0.546511627906977
