method,tau_hat,calibration_moment,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,pac_success,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
Naive-Y,0.04,0.02397660818713448,Inf,0.9551582800002231,0.5713001712475748,0.9186046511627907,0,0.05515828000022305,1,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7263398230354645,1,1,0,0,171,NA,0.1100000000000001,1,686,343,171,172,149,80,70,0.5930232558139535
CC,0.04,0.025000000000000022,Inf,0.9551582800002231,0.5713001712475748,0.9186046511627907,0,0.05515828000022305,1,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7263398230354645,1,1,0.2504299965600275,1.0696687227691517,80,NA,0.05499999999999994,1,686,343,171,172,149,80,70,0.5930232558139535
HT-IPCW,0.09999999999999999,5.4996057664125075e-5,Inf,0.8645703561678706,0.5171176368111114,0.8430232558139535,0.03542964383212943,0.03542964383212943,0,1.3835161135305207,1.2209868992148718,0.2284403854585117,0.7767533206049619,0.5389115249456795,42.81204348788474,42.81204348788474,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.2360000000000002,1,686,343,171,172,149,80,70,0.5930232558139535
H-IPCW,0.09,0.001232438672523188,Inf,0.8745956910465306,0.52311399956367155,0.8546511627906976,0.025404308953469457,0.025404308953469457,0,1.2816875375730152,1.1311206837122953,0.1519898166985429,0.7195832712402119,0.5389115249456795,42.81204348788474,41.177903647323376,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.06499999999999995,1,686,343,171,172,149,80,70,0.5930232558139535
Stab-IPCW,0.04,0.02737302227227394,Inf,0.9551582800002231,0.5713001712475748,0.9186046511627907,0,0.05515828000022305,1,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7263398230354645,2.4727763996273375,5.098869138158409,0.2975429430360287,1.124770315359758,75.74046374188865,NA,0.09400000000000008,1,686,343,171,172,149,80,70,0.5930232558139535
Clip-IPCW,0.05,0.002396159315866046,1.8296004194047006,0.9349180410911022,0.559194060462596,0.9069767441860465,0,0.03491804109110219,1,0.8419178318533349,0.7430131336057142,-0.268260638024821,0.47268149981990165,0.7263398230354645,1.8296004194047006,3.29178106188961,0.38596503901169404,1.1177602859618117,76.2684073734115,0.1,0.06800000000000006,1,686,343,171,172,149,80,70,0.5930232558139535
H-AIPCW,0.01,-0.9104825026419026,Inf,1,0.5981209431042585,0.9651162790697675,0,0.09999999999999998,1,0.273409163288571,0.241290291624262,-1.3929736208526837,0.15350126636854441,1,42.81204348788474,41.177903647323376,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.15700000000000003,1,686,343,171,172,149,80,70,0.5930232558139535
Clip-AIPCW,0.04,0.0012235280504357751,1.8296004194047006,0.9551582800002231,0.5713001712475748,0.9186046511627907,0,0.05515828000022305,1,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7263398230354645,1.8296004194047006,3.29178106188961,0.38596503901169404,1.1177602859618117,76.2684073734115,0.1,0.1439999999999999,1,686,343,171,172,149,80,70,0.5930232558139535
Naive-Y,0.060000000000000005,0.006432748538011674,Inf,0.9396977566247268,0.6639281576292957,0.8953488372093024,0,0.03969775662472674,1,1.0782255201404851,0.8485516768255987,-0.19488790106577863,1.185043464810276,0.8915930193284654,1,1,0,0,171,NA,0.051000000000000156,2,686,343,171,172,152,69,78,0.5465116279069767
CC,0.06999999999999999,0.02753623188405796,Inf,0.9311395516222138,0.6578814971580167,0.8837209302325582,0,0.031139551622213824,1,1.1910251202025688,0.9515221685762267,-0.08235355374301248,1.217064766196189,0.8370938103485142,1,1,0.24210526315789474,1.2194082670455908,69,NA,0.050000000000000044,2,686,343,171,172,152,69,78,0.5465116279069767
HT-IPCW,0.01,-0.08970673846753707,Inf,1,0.7065337263483953,0.9767441860465116,0,0.09999999999999998,1,0.36934739542465134,0.2299644102574735,-1.4821328709477894,0.8843810221255975,1,46.315662045353214,46.315662045353214,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.22299999999999986,2,686,343,171,172,152,69,78,0.5465116279069767
H-IPCW,0.09999999999999999,0.00916058264348937,Inf,0.8577592150492875,0.6060358145184477,0.8313953488372093,0.042240784950712484,0.042240784950712484,0,1.5029095678818438,1.2437443408876168,0.17990050868919935,1.280840493101361,0.6397048579787369,46.315662045353214,57.15913514788332,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.06099999999999994,2,686,343,171,172,152,69,78,0.5465116279069767
Stab-IPCW,0.08,0.0012939784051949929,Inf,0.9224497584016612,0.6517418651727026,0.872093023255814,0,0.02244975840166119,1,1.3003670693302023,1.0513363014671924,0.01566086241741323,1.2521545935474319,0.8370938103485142,1.5689616034195348,3.767709355910861,0.26479093220531785,1.235710202726134,67.90969204399023,NA,0.06000000000000005,2,686,343,171,172,152,69,78,0.5465116279069767
Clip-IPCW,0.08,0.01235167033472123,1.7055083177482593,0.9224497584016612,0.6517418651727026,0.872093023255814,0,0.02244975840166119,1,1.3003670693302023,1.0513363014671924,0.01566086241741323,1.2521545935474319,0.8370938103485142,1.7055083177482593,3.4735273864023735,0.3796163436279212,1.2548428385190986,66.65569553945794,0.10144927536231885,0.06700000000000017,2,686,343,171,172,152,69,78,0.5465116279069767
H-AIPCW,0.01,-1.867825883643758,Inf,1,0.7065337263483953,0.9767441860465116,0,0.09999999999999998,1,0.36934739542465134,0.2299644102574735,-1.4821328709477894,0.8843810221255975,1,46.315662045353214,57.15913514788332,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.129,2,686,343,171,172,152,69,78,0.5465116279069767
Clip-AIPCW,0.06999999999999999,0.025275192721498137,1.7055083177482593,0.9311395516222138,0.6578814971580167,0.8837209302325582,0,0.031139551622213824,1,1.1910251202025688,0.9515221685762267,-0.08235355374301248,1.217064766196189,0.8370938103485142,1.7055083177482593,3.4735273864023735,0.3796163436279212,1.2548428385190986,66.65569553945794,0.10144927536231885,0.1349999999999998,2,686,343,171,172,152,69,78,0.5465116279069767
Naive-Y,0.06999999999999999,0.006432748538011674,Inf,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,1,1,0,0,171,NA,0.05099999999999971,3,686,343,171,172,144,84,71,0.5872093023255814
CC,0.06999999999999999,0.016666666666666607,Inf,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,1,1,0.2513931888544892,1.0206893370115493,84,NA,0.050000000000000266,3,686,343,171,172,144,84,71,0.5872093023255814
HT-IPCW,0.01,-0.20671101425198235,Inf,1,0.6854593164311953,0.9825581395348837,0,0.09999999999999998,1,0.3243993338990836,0.26109480989868106,-1.3261530105652013,0.4625081295934298,1,8.143228903415938,8.143228903415938,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.22199999999999998,3,686,343,171,172,144,84,71,0.5872093023255814
H-IPCW,0.06999999999999999,0.03838777537775128,Inf,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,8.143228903415938,11.745792982171608,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.06300000000000017,3,686,343,171,172,144,84,71,0.5872093023255814
Stab-IPCW,0.06999999999999999,0.0142075674978975,Inf,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,1.1192237758810444,2.337537628007192,0.2437006276947498,1.0310269253730722,83.13885445653762,NA,0.06099999999999994,3,686,343,171,172,144,84,71,0.5872093023255814
Clip-IPCW,0.06999999999999999,0.030759440597782413,1.9417250551939151,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,1.9417250551939151,3.147509950980708,0.44087562407329317,1.0763101130388708,79.47319270037089,0.10714285714285714,0.06700000000000017,3,686,343,171,172,144,84,71,0.5872093023255814
H-AIPCW,0.06999999999999999,0.009987462077254063,Inf,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,8.143228903415938,11.745792982171608,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.129,3,686,343,171,172,144,84,71,0.5872093023255814
Clip-AIPCW,0.06999999999999999,0.013526170423558009,1.9417250551939151,0.8918816852818112,0.6113486103307727,0.872093023255814,0.008118314718188802,0.008118314718188802,0,1.2283337091844864,1.0622405004429425,0.07114726892200646,0.8398456685117194,0.5379149460994473,1.9417250551939151,3.147509950980708,0.44087562407329317,1.0763101130388708,79.47319270037089,0.10714285714285714,0.13599999999999968,3,686,343,171,172,144,84,71,0.5872093023255814
Naive-Y,0.06999999999999999,5.847953216374047e-4,Inf,0.935519856006466,0.6450987836147811,0.877906976744186,0,0.03551985600646601,1,1.2482024023909273,0.8849319388388935,0.0016162529061258986,1.2405170238061987,0.7696015175573515,1,1,0,0,171,NA,0.05099999999999971,4,686,343,171,172,151,72,76,0.5581395348837209
CC,0.08,0.002777777777777768,Inf,0.9268172234948888,0.6390977804170188,0.872093023255814,0,0.026817223494888798,1,1.35974136134953,0.9748050454636361,0.09665591909023198,1.2776955225846498,0.7696015175573515,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.051000000000000156,4,686,343,171,172,151,72,76,0.5581395348837209
HT-IPCW,0.09999999999999999,0.028745599832514013,Inf,0.8896755935452282,0.6134863301114352,0.8488372093023255,0.01032440645477184,0.01032440645477184,0,1.5738691044942532,1.1473396080114506,0.2567771890604233,1.3589384149337702,0.6609208984187867,77.8924839218754,77.8924839218754,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.2240000000000002,4,686,343,171,172,151,72,76,0.5581395348837209
H-IPCW,0.09999999999999999,0.020297936169955094,Inf,0.8896755935452282,0.6134863301114352,0.8488372093023255,0.01032440645477184,0.01032440645477184,0,1.5738691044942532,1.1473396080114506,0.2567771890604233,1.3589384149337702,0.6609208984187867,77.8924839218754,77.18399119132363,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.06199999999999983,4,686,343,171,172,151,72,76,0.5581395348837209
Stab-IPCW,0.08,0.005449629723869049,Inf,0.9268172234948888,0.6390977804170188,0.872093023255814,0,0.026817223494888798,1,1.35974136134953,0.9748050454636361,0.09665591909023198,1.2776955225846498,0.7696015175573515,2.1039984941145966,4.8595368463525155,0.2753016197717323,1.2118638708049785,69.51147019203832,NA,0.06300000000000017,4,686,343,171,172,151,72,76,0.5581395348837209
Clip-IPCW,0.08,0.013468941390340638,1.6352526161668488,0.9268172234948888,0.6390977804170188,0.872093023255814,0,0.026817223494888798,1,1.35974136134953,0.9748050454636361,0.09665591909023198,1.2776955225846498,0.7696015175573515,1.6352526161668488,3.316485620873473,0.3510314189438478,1.2016175448906345,70.21315779720612,0.1111111111111111,0.06799999999999962,4,686,343,171,172,151,72,76,0.5581395348837209
H-AIPCW,0.01,-0.09857365105615484,Inf,0.988346918898717,0.681526309759664,0.9534883720930233,0,0.08834691889871693,1,0.3654445207089309,0.22329051741318462,-1.3626743545616826,0.7369240457992501,0.86890141364667,77.8924839218754,77.18399119132363,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.1299999999999999,4,686,343,171,172,151,72,76,0.5581395348837209
Clip-AIPCW,0.060000000000000005,0.0038491880374273146,1.6352526161668488,0.9533315669054532,0.6573810595721129,0.9011627906976745,0,0.053331566905453154,1,1.1327624461546046,0.7919155830072665,-0.10750266268580537,1.2062081366142592,0.7696015175573515,1.6352526161668488,3.316485620873473,0.3510314189438478,1.2016175448906345,70.21315779720612,0.1111111111111111,0.13700000000000045,4,686,343,171,172,151,72,76,0.5581395348837209
Naive-Y,0.060000000000000005,0.012280701754385942,Inf,0.9672938871450956,0.7134979093518186,0.9069767441860465,0,0.06729388714509554,1,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8835502866759388,1,1,0,0,171,NA,0.0519999999999996,5,686,343,171,172,150,72,77,0.5523255813953488
CC,0.060000000000000005,0.016666666666666607,Inf,0.9672938871450956,0.7134979093518186,0.9069767441860465,0,0.06729388714509554,1,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8835502866759388,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.0519999999999996,5,686,343,171,172,150,72,77,0.5523255813953488
