method,tau_hat,calibration_moment,feasible_found,boundary_fallback,pac_success_nominal,pac_success_tol,clip_c,coverage_ipcw_hajek,coverage_ipcw_ht,observed_y_coverage,coverage_shortfall,abs_calibration_error,mean_lpb,median_lpb,mean_log_lpb,sd_lpb,worst_slice_coverage,max_raw_weight,max_normalized_weight,weight_variance,weight_cv,effective_sample_size,clipped_fraction,computation_time_sec,split,n_total,n_train,n_cal,n_test,events_train,events_cal,events_test,censoring_test
Naive-Y,0.04,0.02397660818713448,TRUE,FALSE,1,1,Inf,0.9582187124329217,0.6008099141278453,0.9186046511627907,0,0.05821871243292165,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7467467868100002,1,1,0,0,171,NA,0.24799999999999933,1,686,343,171,172,149,80,70,0.5930232558139535
CC,0.04,0.025000000000000022,TRUE,FALSE,1,1,Inf,0.9582187124329217,0.6008099141278453,0.9186046511627907,0,0.05821871243292165,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7467467868100002,1,1,0.2504299965600275,1.0696687227691517,80,NA,0.10799999999999876,1,686,343,171,172,149,80,70,0.5930232558139535
HT-IPCW,0.09999999999999999,5.4996057664125075e-5,TRUE,FALSE,0,0,Inf,0.8730537962430754,0.5474109089541611,0.8430232558139535,0.02694620375692458,0.02694620375692458,1.3835161135305207,1.2209868992148718,0.2284403854585117,0.7767533206049619,0.5695383817464585,42.81204348788474,42.81204348788474,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.6469999999999985,1,686,343,171,172,149,80,70,0.5930232558139535
H-IPCW,0.09,0.001232438672523188,TRUE,FALSE,0,1,Inf,0.8826150057682904,0.553405854992334,0.8546511627906976,0.017384994231709583,0.017384994231709583,1.2816875375730152,1.1311206837122953,0.1519898166985429,0.7195832712402119,0.5695383817464585,42.81204348788474,41.177903647323376,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.1269999999999989,1,686,343,171,172,149,80,70,0.5930232558139535
Stab-IPCW,0.04,0.02737302227227394,TRUE,FALSE,1,1,Inf,0.9582187124329217,0.6008099141278453,0.9186046511627907,0,0.05821871243292165,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7467467868100002,2.4727763996273375,5.098869138158409,0.2975429430360287,1.124770315359758,75.74046374188865,NA,0.20999999999999908,1,686,343,171,172,149,80,70,0.5930232558139535
Clip-IPCW,0.05,0.0014251538299531459,TRUE,FALSE,1,1,1.728875361879034,0.939385408572311,0.5890012993216205,0.9069767441860465,0,0.03938540857231099,0.8419178318533349,0.7430131336057142,-0.268260638024821,0.47268149981990165,0.7467467868100002,1.728875361879034,3.1415037109308885,0.3724736585955324,1.1089747916673194,76.93577395705289,0.125,0.1379999999999999,1,686,343,171,172,149,80,70,0.5930232558139535
H-AIPCW,0.01,-0.9104825026419026,FALSE,TRUE,1,1,Inf,1,0.6270070771237458,0.9651162790697675,0,0.09999999999999998,0.273409163288571,0.241290291624262,-1.3929736208526837,0.15350126636854441,1,42.81204348788474,41.177903647323376,17.05656299291081,3.9723182578132326,10.247476152980049,NA,0.42300000000000004,1,686,343,171,172,149,80,70,0.5930232558139535
Clip-AIPCW,0.04,0.0021032096613927617,TRUE,FALSE,1,1,1.728875361879034,0.9582187124329217,0.6008099141278453,0.9186046511627907,0,0.05821871243292165,0.7191875964623569,0.634700691065712,-0.42582082392219284,0.4037765431329134,0.7467467868100002,1.728875361879034,3.1415037109308885,0.3724736585955324,1.1089747916673194,76.93577395705289,0.125,0.3879999999999999,1,686,343,171,172,149,80,70,0.5930232558139535
Naive-Y,0.060000000000000005,0.006432748538011674,TRUE,FALSE,1,1,Inf,0.9404671152083943,0.6618280664640006,0.8953488372093024,0,0.0404671152083943,1.695722423325916,0.8485516768255987,-0.17049844124722724,7.0607640169757,0.9027937860292994,1,1,0,0,171,NA,0.07800000000000118,2,686,343,171,172,152,69,78,0.5465116279069767
CC,0.06999999999999999,0.02753623188405796,TRUE,FALSE,1,1,Inf,0.932041554696882,0.655898808192196,0.8837209302325582,0,0.03204155469688197,1.901495832973333,0.9515221685762267,-0.05596644278855401,7.917577294020887,0.853477362662423,1,1,0.24210526315789474,1.2194082670455908,69,NA,0.10099999999999909,2,686,343,171,172,152,69,78,0.5465116279069767
HT-IPCW,0.01,-0.08970673846753707,FALSE,TRUE,1,1,Inf,1,0.7037227094509827,0.9767441860465116,0,0.09999999999999998,0.4595545771582572,0.2299644102574735,-1.4761048688705043,1.9135245117955593,1,46.315662045353214,46.315662045353214,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.6400000000000006,2,686,343,171,172,152,69,78,0.5465116279069767
H-IPCW,0.09999999999999999,0.00916058264348937,TRUE,FALSE,0,0,Inf,0.857878438273125,0.6037085389611411,0.8313953488372093,0.04212156172687498,0.04212156172687498,2.485464616153616,1.2437443408876168,0.21185231061279028,10.349146113656609,0.663145664939231,46.315662045353214,57.15913514788332,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.0920000000000023,2,686,343,171,172,152,69,78,0.5465116279069767
Stab-IPCW,0.08,0.0012939784051949929,TRUE,FALSE,1,1,Inf,0.9235489542324643,0.6499223723830914,0.872093023255814,0,0.02354895423246428,2.1009616615498876,1.0513363014671924,0.04378787425045914,8.74812663727203,0.853477362662423,1.5689616034195348,3.767709355910861,0.26479093220531785,1.235710202726134,67.90969204399023,NA,0.0920000000000023,2,686,343,171,172,152,69,78,0.5465116279069767
Clip-IPCW,0.08,0.013521997928074469,TRUE,FALSE,1,1,1.8906504503328403,0.9235489542324643,0.6499223723830914,0.872093023255814,0,0.02354895423246428,2.1009616615498876,1.0513363014671924,0.04378787425045914,8.74812663727203,0.853477362662423,1.8906504503328403,3.7991822836985834,0.3969644189218363,1.2660611420314756,65.93312357714244,0.07246376811594203,0.10899999999999821,2,686,343,171,172,152,69,78,0.5465116279069767
H-AIPCW,0.01,-1.867825883643758,FALSE,TRUE,1,1,Inf,1,0.7037227094509827,0.9767441860465116,0,0.09999999999999998,0.4595545771582572,0.2299644102574735,-1.4761048688705043,1.9135245117955593,1,46.315662045353214,57.15913514788332,12.928642815101071,4.437457854541991,8.310701666323483,NA,0.2079999999999984,2,686,343,171,172,152,69,78,0.5465116279069767
Clip-AIPCW,0.06999999999999999,0.02410330237723954,TRUE,FALSE,1,1,1.8906504503328403,0.932041554696882,0.655898808192196,0.8837209302325582,0,0.03204155469688197,1.901495832973333,0.9515221685762267,-0.05596644278855401,7.917577294020887,0.853477362662423,1.8906504503328403,3.7991822836985834,0.3969644189218363,1.2660611420314756,65.93312357714244,0.07246376811594203,0.2140000000000022,2,686,343,171,172,152,69,78,0.5465116279069767
Naive-Y,0.06999999999999999,0.006432748538011674,TRUE,FALSE,0,1,Inf,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,1,1,0,0,171,NA,0.06900000000000261,3,686,343,171,172,144,84,71,0.5872093023255814
CC,0.06999999999999999,0.016666666666666607,TRUE,FALSE,0,1,Inf,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,1,1,0.2513931888544892,1.0206893370115493,84,NA,0.09600000000000009,3,686,343,171,172,144,84,71,0.5872093023255814
HT-IPCW,0.01,-0.20671101425198235,FALSE,TRUE,1,1,Inf,1,0.62950490676973625,0.9825581395348837,0,0.09999999999999998,0.3243993338990836,0.26109480989868106,-1.3261530105652013,0.4625081295934298,1,8.143228903415938,8.143228903415938,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.38300000000000267,3,686,343,171,172,144,84,71,0.5872093023255814
H-IPCW,0.06999999999999999,0.03838777537775128,TRUE,FALSE,0,1,Inf,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,8.143228903415938,11.745792982171608,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.11200000000000188,3,686,343,171,172,144,84,71,0.5872093023255814
Stab-IPCW,0.06999999999999999,0.0142075674978975,TRUE,FALSE,0,1,Inf,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,1.1192237758810444,2.337537628007192,0.2437006276947498,1.0310269253730722,83.13885445653762,NA,0.10900000000000176,3,686,343,171,172,144,84,71,0.5872093023255814
Clip-IPCW,0.06999999999999999,0.028695139495240815,TRUE,FALSE,0,1,1.6463904591508434,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,1.6463904591508434,2.7483420620088252,0.39872221129737667,1.054078993598202,81.25117434208083,0.16666666666666666,0.1109999999999971,3,686,343,171,172,144,84,71,0.5872093023255814
H-AIPCW,0.06999999999999999,0.009987462077254063,TRUE,FALSE,0,1,Inf,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,8.143228903415938,11.745792982171608,0.9163867903642645,1.3807819764125053,59.05900562439493,NA,0.28600000000000136,3,686,343,171,172,144,84,71,0.5872093023255814
Clip-AIPCW,0.06999999999999999,0.013419853318583494,TRUE,FALSE,0,1,1.6463904591508434,0.8833679556282017,0.5560844625511036,0.872093023255814,0.016632044371798327,0.016632044371798327,1.3197892019302853,1.0622405004429425,0.07709902784806857,1.8816722830641612,0.5577261533116945,1.6463904591508434,2.7483420620088252,0.39872221129737667,1.054078993598202,81.25117434208083,0.16666666666666666,0.21799999999999997,3,686,343,171,172,144,84,71,0.5872093023255814
Naive-Y,0.06999999999999999,5.847953216374047e-4,TRUE,FALSE,1,1,Inf,0.9349141231420216,0.6377946732269181,0.877906976744186,0,0.03491412314202158,3.2487540827269834,0.8849319388388935,0.027801718339646078,26.157908833354384,0.78237052515973,1,1,0,0,171,NA,0.07199999999999918,4,686,343,171,172,151,72,76,0.5581395348837209
CC,0.08,0.002777777777777768,TRUE,FALSE,1,1,Inf,0.9263137820296322,0.6319275549391102,0.872093023255814,0,0.026313782029632193,3.5786954140994127,0.9748050454636361,0.12452847918974222,28.814488878080674,0.78237052515973,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.07400000000000162,4,686,343,171,172,151,72,76,0.5581395348837209
HT-IPCW,0.09999999999999999,0.028745599832514013,TRUE,FALSE,0,1,Inf,0.8881475029333332,0.6058906720832786,0.8488372093023255,0.0118524970666668,0.0118524970666668,4.212102730400123,1.1473396080114506,0.2874921385676884,33.91447810849545,0.6807104107353334,77.8924839218754,77.8924839218754,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.5640000000000001,4,686,343,171,172,151,72,76,0.5581395348837209
H-IPCW,0.09999999999999999,0.020297936169955094,TRUE,FALSE,0,1,Inf,0.8881475029333332,0.6058906720832786,0.8488372093023255,0.0118524970666668,0.0118524970666668,4.212102730400123,1.1473396080114506,0.2874921385676884,33.91447810849545,0.6807104107353334,77.8924839218754,77.18399119132363,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.08699999999999974,4,686,343,171,172,151,72,76,0.5581395348837209
Stab-IPCW,0.08,0.005449629723869049,TRUE,FALSE,1,1,Inf,0.9263137820296322,0.6319275549391102,0.872093023255814,0,0.026313782029632193,3.5786954140994127,0.9748050454636361,0.12452847918974222,28.814488878080674,0.78237052515973,2.1039984941145966,4.8595368463525155,0.2753016197717323,1.2118638708049785,69.51147019203832,NA,0.08899999999999864,4,686,343,171,172,151,72,76,0.5581395348837209
Clip-IPCW,0.09,0.0010600169270142546,TRUE,FALSE,1,1,1.882014706223,0.9065950195954798,0.618475494122163,0.8604651162790697,0,0.006595019595479812,3.899270081766798,1.0621267555646996,0.21031953175776166,31.395651600033315,0.6807104107353334,1.882014706223,3.7400206605453348,0.376739443636906,1.219751988099805,68.97680174517018,0.09722222222222222,0.10100000000000264,4,686,343,171,172,151,72,76,0.5581395348837209
H-AIPCW,0.01,-0.09859217249131866,FALSE,TRUE,1,1,Inf,0.9875110771199795,0.6736761047346194,0.9534883720930233,0,0.08751107711997952,0.819742116023196,0.22329051741318462,-1.3492353261818262,6.600296295679257,0.8737905146472688,77.8924839218754,77.18399119132363,35.64088889684968,5.915697284734579,4.777761118904079,NA,0.2170000000000023,4,686,343,171,172,151,72,76,0.5581395348837209
Clip-AIPCW,0.060000000000000005,7.781617861764428e-4,TRUE,FALSE,1,1,1.882014706223,0.9524837761126951,0.6497806201687409,0.9011627906976745,0,0.05248377611269506,2.9072732834636184,0.7919155830072665,-0.08325421942255616,23.40841675484831,0.78237052515973,1.882014706223,3.7400206605453348,0.376739443636906,1.219751988099805,68.97680174517018,0.09722222222222222,0.2259999999999991,4,686,343,171,172,151,72,76,0.5581395348837209
Naive-Y,0.060000000000000005,0.012280701754385942,TRUE,FALSE,1,1,Inf,0.9652412580121844,0.6577788821025623,0.9069767441860465,0,0.06524125801218439,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8885593598575703,1,1,0,0,171,NA,0.08200000000000074,5,686,343,171,172,150,72,77,0.5523255813953488
CC,0.060000000000000005,0.016666666666666607,TRUE,FALSE,1,1,Inf,0.9652412580121844,0.6577788821025623,0.9069767441860465,0,0.06524125801218439,1.0007546400273895,0.7931416914176364,-0.17211589966903487,0.7659547655932941,0.8885593598575703,1,1,0.2452012383900929,1.1760477181195148,72,NA,0.07900000000000063,5,686,343,171,172,150,72,77,0.5523255813953488
HT-IPCW,0.01,-0.1907668135153492,FALSE,TRUE,1,1,Inf,1,0.6814657751546909,0.9767441860465116,0,0.09999999999999998,0.27227055262467165,0.21578628566342334,-1.4738292833829025,0.2083896681287227,1,19.986953639138132,19.986953639138132,3.0418791868962023,2.4387397941763265,24.737180606144292,NA,0.5710000000000015,5,686,343,171,172,150,72,77,0.5523255813953488
