"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
1,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.9545,0,0.0545,0.254890807909747,0.17877698941298,-1.73430368787852,0.944,1,1,240,0,NA
1,600,"A","C1",0.2,"weibull_cox","CC",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1,1.26984126984127,189,0.520548088855695,NA
1,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.06,0.9335,0,0.0335,0.322008639337713,0.225852534965287,-1.50056056162999,0.923,4.68080313488144,4.8106467264162,169.982427263204,0.643143941330234,NA
1,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,4.68080313488144,4.8106467264162,169.982427263204,0.643143941330234,NA
1,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,2.24029621870599,2.84674861889813,183.666407388935,0.554977695520242,NA
1,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.62752693342104,1.75994466957563,184.01062862418,0.552761786291799,0.100529100529101
1,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,4.68080313488144,4.8106467264162,169.982427263204,0.643143941330234,NA
1,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.07,0.9225,0,0.0225,0.352195070895948,0.247024892648005,-1.41095373627635,0.909,1.62752693342104,1.75994466957563,184.01062862418,0.552761786291799,0.100529100529101
2,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.9555,0,0.0555,0.254165924652307,0.167879073972277,-1.77535348407232,0.95,1,1,240,0,NA
2,600,"A","C1",0.2,"weibull_cox","CC",0.08,0.9075,0,0.00749999999999995,0.383902191108411,0.253571144233332,-1.36295297499248,0.9,1,1.25,192,0.50104493321917,NA
2,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.03,0.9675,0,0.0675,0.214626330441016,0.141762786076835,-1.94444226637252,0.964,7.06244724331112,7.43247621509394,160.941787697323,0.702337333941831,NA
2,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,7.06244724331112,7.43247621509394,160.941787697323,0.702337333941831,NA
2,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.9175,0,0.0175,0.354320836756778,0.234032370960749,-1.44313796328365,0.91,4.2609049548141,5.45590568823031,178.224688759802,0.589970381284799,NA
2,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.50758995206604,1.67816809939465,187.968554327013,0.527226239045358,0.104166666666667
2,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.08,0.9075,0,0.00749999999999995,0.383902191108411,0.253571144233332,-1.36295297499248,0.9,7.06244724331112,7.43247621509394,160.941787697323,0.702337333941831,NA
2,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.09,0.896,0.004,0.004,0.41219942141295,0.272261741039355,-1.29183351968149,0.886,1.50758995206604,1.67816809939465,187.968554327013,0.527226239045358,0.104166666666667
3,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.957,0,0.0569999999999999,0.245304312860152,0.177015786531513,-1.73509789989807,0.942,1,1,240,0,NA
3,600,"A","C1",0.2,"weibull_cox","CC",0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1,1.23076923076923,195,0.481388400778673,NA
3,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.16,0.8315,0.0685,0.0685,0.566330521796215,0.408673788013306,-0.898419564454675,0.796,10.7771832760677,10.4337112599217,122.905811485333,0.978110974348568,NA
3,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.13,0.8665,0.0335,0.0335,0.497538330153786,0.359032166270791,-1.02792483382377,0.838,10.7771832760677,10.4337112599217,122.905811485333,0.978110974348568,NA
3,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,6.51626226719477,7.86928899848514,163.560794593859,0.685054536241659,NA
3,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.49933123786285,1.60882011295767,191.008179704708,0.507507512618905,0.102564102564103
3,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.01,0.992,0,0.092,0.109374545866613,0.0789265424539981,-2.54281924039734,0.986,10.7771832760677,10.4337112599217,122.905811485333,0.978110974348568,NA
3,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.12,0.8715,0.0285,0.0285,0.473582380522387,0.341745143402469,-1.07727155340096,0.844,1.49933123786285,1.60882011295767,191.008179704708,0.507507512618905,0.102564102564103
4,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.06,0.941,0,0.0409999999999999,0.318427573178818,0.200274205646523,-1.60431105789479,0.931451612903226,1,1,240,0,NA
4,600,"A","C1",0.2,"weibull_cox","CC",0.07,0.927,0,0.027,0.35112501597611,0.220839178451887,-1.50656377637104,0.917338709677419,1,1.27659574468085,188,0.527022816443369,NA
4,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.05,0.951,0,0.0509999999999999,0.283838534787827,0.178519518642887,-1.71930057029336,0.941532258064516,5.30931301369584,5.57825423243995,161.129279134748,0.701095764481929,NA
4,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,5.30931301369584,5.57825423243995,161.129279134748,0.701095764481929,NA
4,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.927,0,0.027,0.35112501597611,0.220839178451887,-1.50656377637104,0.917338709677419,3.12189725503672,4.03531207099162,179.152262212307,0.584006580095725,NA
4,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.1,0.9005,0,0.000499999999999945,0.441294354411156,0.277550952650569,-1.27799398418754,0.88746298124383,1.44973367328676,1.63803249043463,184.898304210034,0.547044541245202,0.101063829787234
4,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,5.30931301369584,5.57825423243995,161.129279134748,0.701095764481929,NA
4,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.11,0.891,0.00900000000000001,0.00900000000000001,0.469423740693539,0.295242858024181,-1.21620024847738,0.876604146100691,1.44973367328676,1.63803249043463,184.898304210034,0.547044541245202,0.101063829787234
5,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.05,0.9515,0,0.0515,0.283400571166567,0.19381197023773,-1.6487562264816,0.938,1,1,240,0,NA
5,600,"A","C1",0.2,"weibull_cox","CC",0.08,0.9195,0,0.0195,0.373916851979412,0.255714240408591,-1.37158411735702,0.906,1,1.23076923076923,195,0.481388400778673,NA
5,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.06,0.9415,0,0.0415,0.315405752511801,0.215699672258943,-1.54175765599945,0.928,5.76315892013395,5.91997039846704,162.521296920656,0.691898998416124,NA
5,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.1,0.903,0,0.003,0.427305965435186,0.292225984988059,-1.2381172658257,0.888429752066116,5.76315892013395,5.91997039846704,162.521296920656,0.691898998416124,NA
5,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.9305,0,0.0305,0.345438444382338,0.23623842826431,-1.45080310568095,0.92,1.70451314847343,2.15398659903987,193.074822451281,0.494022592683752,NA
5,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.31946590769075,1.45008337685988,193.410387038314,0.491825819971568,0.102564102564103
5,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.1,0.903,0,0.003,0.427305965435186,0.292225984988059,-1.2381172658257,0.888429752066116,5.76315892013395,5.91997039846704,162.521296920656,0.691898998416124,NA
5,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.09,0.909,0,0.00900000000000001,0.401134234592165,0.274327662841643,-1.30132144824712,0.892,1.31946590769075,1.45008337685988,193.410387038314,0.491825819971568,0.102564102564103
6,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.963,0,0.0629999999999999,0.21631468438615,0.149996330423611,-1.91002590759227,0.952284263959391,1,1,240,0,NA
6,600,"A","C1",0.2,"weibull_cox","CC",0.09,0.916,0,0.016,0.366040917385421,0.253819080976921,-1.38401500393822,0.902,1,1.26984126984127,189,0.520548088855695,NA
6,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.2,0.8025,0.0975,0.0975,0.628751570850078,0.435987176012685,-0.843023907445163,0.790862944162437,18.496624875633,16.9800473715585,79.2835948790915,1.42674089049943,NA
6,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.12,0.889,0.011,0.011,0.44309835424727,0.307252035812726,-1.19296836320638,0.874111675126904,18.496624875633,16.9800473715585,79.2835948790915,1.42674089049943,NA
6,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,8.60324698702706,10.554614150185,129.228377003677,0.927773545378358,NA
6,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.52009068927576,1.69183119714768,184.952346130579,0.546696325708391,0.100529100529101
6,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.01,0.9935,0,0.0935,0.0896833397614656,0.0621879735188938,-2.7904751082827,0.990029910269192,18.496624875633,16.9800473715585,79.2835948790915,1.42674089049943,NA
6,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.1,0.9045,0,0.00449999999999995,0.392423663003683,0.272113331505815,-1.31441809808149,0.892385786802031,1.52009068927576,1.69183119714768,184.952346130579,0.546696325708391,0.100529100529101
7,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.04,0.946,0,0.0459999999999999,0.268384122767672,0.186467145945225,-1.66768729174013,0.933263816475495,1,1,240,0,NA
7,600,"A","C1",0.2,"weibull_cox","CC",0.07,0.9135,0,0.0135,0.369800833972476,0.256929155748545,-1.34714196582575,0.897810218978102,1,1.23076923076923,195,0.481388400778673,NA
7,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.02,0.968,0,0.0679999999999999,0.181367277558938,0.126009833463756,-2.05958240688479,0.962,2.59750393351754,2.77149025883389,187.360641002272,0.531156847548659,NA
7,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,2.59750393351754,2.77149025883389,187.360641002272,0.531156847548659,NA
7,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.07,0.9135,0,0.0135,0.369800833972476,0.256929155748545,-1.34714196582575,0.897810218978102,1.83552789851706,2.3645194715365,191.912799667633,0.501613765752233,NA
7,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.421866649906,1.55845781044282,192.278246340017,0.499228983927066,0.102564102564103
7,600,"A","C1",0.2,"weibull_cox","H-AIPCW",0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,2.59750393351754,2.77149025883389,187.360641002272,0.531156847548659,NA
7,600,"A","C1",0.2,"weibull_cox","Clip-AIPCW",0.08,0.898,0.002,0.002,0.399547554538559,0.27759649637953,-1.26977374671239,0.875912408759124,1.421866649906,1.55845781044282,192.278246340017,0.499228983927066,0.102564102564103
8,600,"A","C1",0.2,"weibull_cox","Naive-Y",0.05,0.9665,0,0.0665,0.22395527601162,0.15688735589076,-1.8658253744193,0.958,1,1,240,0,NA
8,600,"A","C1",0.2,"weibull_cox","CC",0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1,1.24352331606218,193,0.494512125302105,NA
8,600,"A","C1",0.2,"weibull_cox","HT-IPCW",0.05,0.9665,0,0.0665,0.22395527601162,0.15688735589076,-1.8658253744193,0.958,10.1011859636534,10.5572553789318,145.079391162,0.810557942671291,NA
8,600,"A","C1",0.2,"weibull_cox","H-IPCW",0.09,0.9415,0,0.0415,0.329464568754686,0.230799764900069,-1.47980292785111,0.936,10.1011859636534,10.5572553789318,145.079391162,0.810557942671291,NA
8,600,"A","C1",0.2,"weibull_cox","Stab-IPCW",0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,2.03188990820173,2.63711882672923,189.573367731071,0.516830327640108,NA
8,600,"A","C1",0.2,"weibull_cox","Clip-IPCW",0.08,0.9455,0,0.0455,0.30472278474356,0.213467406660273,-1.55786928485211,0.94,1.42370840033037,1.58724151277724,190.431916029014,0.51125535241617,0.103626943005181
