"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"A","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.926695,0.00282980970734747,0.92775,0.85,0.00294,0.032575,0.230443234802945,0.908775499707617,0.0328096746017809,0.0282980970734747,2.18668848282304,67.1202822135386,0.105144843331884
"B","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.91914,0.00290123693578717,0.9225,0.77,0.00519500000000001,0.02953,0.403198516399748,0.886080465397328,0.0291287632501768,0.0290123693578717,2.21324978105635,66.5873115511321,0.104908517066304
"C","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.921235,0.00267966015295849,0.9255,0.8,0.00378000000000001,0.028795,0.449027724026188,0.887547134854502,0.0320383293174683,0.0267966015295849,2.23642219508463,66.3947834441826,0.105348466888782
"A","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92052,0.00310972667609229,0.9195,0.78,0.00515000000000001,0.03082,0.241032500097139,0.901192662956067,0.036973782685311,0.0310972667609229,2.35736573183614,66.9022994088682,0.104314108464064
"B","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92349,0.0026048224507632,0.923,0.78,0.00280500000000001,0.0291,0.405433894369741,0.887465923549283,0.0281013677369424,0.026048224507632,2.46334733284064,65.5515862030653,0.105090423168488
"C","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.916265,0.00281494438110007,0.91625,0.76,0.00531,0.026885,0.469353135227163,0.881551963903144,0.0338259060365265,0.0281494438110007,2.25490096153519,66.8237236004866,0.104676467383811
"A","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92317,0.00312882670751459,0.92525,0.82,0.004595,0.03236,0.236839580677155,0.90429686335875,0.0340919730473703,0.0312882670751459,2.24340009906182,66.8067236619016,0.10463985739656
"B","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.91948,0.00285377580822957,0.92325,0.74,0.00487500000000001,0.02923,0.395376204828751,0.884487889560754,0.0265335693609115,0.0285377580822957,2.15619590778218,66.6077664849702,0.104650351876268
"C","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.919515,0.00279540075911137,0.9225,0.77,0.00463000000000001,0.028775,0.457000178071741,0.885072181705921,0.0330623836424601,0.0279540075911137,2.22968718471568,66.1769291535257,0.104361084034126
"A","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.91503,0.00225978031470032,0.91475,0.78,0.00358000000000001,0.02219,0.256022569447933,0.898777077964891,0.0237688787274368,0.0225978031470032,2.10305959698073,134.385753572708,0.102406361821208
"B","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.920885,0.00211206078453622,0.92075,0.83,0.00215500000000001,0.025195,0.402841193214028,0.890558503754284,0.0207593230850501,0.0211206078453622,2.18234323613487,133.384208345629,0.102357990425152
"C","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.916805,0.00251763371947838,0.921,0.79,0.00452500000000001,0.025855,0.472046512052955,0.885524729783754,0.0247563888295282,0.0251763371947838,2.17627873126488,132.576667826559,0.10228610874429
"A","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.91183,0.0021382426939386,0.9125,0.75,0.00382000000000001,0.01947,0.262303707036728,0.89484324414061,0.0227722585084519,0.021382426939386,2.32683851461657,132.915515522338,0.102249412459313
"B","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.921325,0.00218297331058982,0.9255,0.83,0.00252500000000001,0.026375,0.411647241201993,0.88242218882167,0.0209376177819693,0.0218297331058982,2.3623391275742,131.762144116582,0.102649797663256
"C","C2",600,0.4,"weibull_cox","Clip-AIPCW",100,0.91363,0.00251805219737139,0.91375,0.76,0.00495000000000001,0.02353,0.489635857705328,0.881978312456828,0.0244079387648256,0.0251805219737139,2.23142740330477,133.677337770003,0.102231831138411
