"cens","method","mean_cov","mcse_cov","q05_cov","q10_cov","pac_ge_090","pac_ge_088","med_lpb","mean_ess","mean_maxwt","cens_f"
0.4,"H-IPCW",0.897278703703704,0.00115905999113498,0.826,0.85795,0.604444444444444,0.801111111111111,0.429326960090608,91.0495763837545,6037.23316762771,"40%"
0.4,"H-AIPCW",0.90722,0.00114994448636026,0.8415,0.8635,0.622222222222222,0.818148148148148,0.411804579650755,91.0495763837545,6037.23316762771,"40%"
0.4,"Stab-IPCW",0.932033333333333,0.000814761181451482,0.886975,0.905,0.916296296296296,0.965185185185185,0.359877547187816,133.794164491672,719.623987733834,"40%"
0.4,"Clip-IPCW",0.919546666666667,0.000446784285805993,0.8785,0.889,0.823703703703704,0.944444444444444,0.397641116196757,156.584509736854,2.16879408696939,"40%"
0.4,"Clip-AIPCW",0.918971481481481,0.00044422998264321,0.878,0.8885,0.819259259259259,0.941481481481481,0.399067308563318,156.584509736854,2.16879408696939,"40%"
0.6,"H-IPCW",0.897752592592593,0.00146300840503984,0.7925,0.8455,0.642592592592593,0.78962962962963,0.406219186905172,44.9134767832032,6009.08556948511,"60%"
0.6,"H-AIPCW",0.900836111111111,0.00159744418917551,0.777,0.8394,0.588518518518519,0.747777777777778,0.393932392201883,44.9134767832032,6009.08556948511,"60%"
0.6,"Stab-IPCW",0.946259074074074,0.000987648878778564,0.89895,0.92,0.94962962962963,0.966666666666667,0.310071472642114,78.5025374248489,563.816484864612,"60%"
0.6,"Clip-IPCW",0.930362592592593,0.00047472943930558,0.886475,0.89945,0.896666666666667,0.966296296296296,0.366067242026603,96.4430235972999,3.20631984007042,"60%"
0.6,"Clip-AIPCW",0.929450925925926,0.00047693687316752,0.887,0.899,0.892222222222222,0.968518518518519,0.36785158568172,96.4430235972999,3.20631984007042,"60%"
0.8,"H-IPCW",0.908271111111111,0.00152340987940839,0.759975,0.8315,0.719259259259259,0.802222222222222,0.359381782188613,19.1461543182677,528.408019399439,"80%"
0.8,"H-AIPCW",0.89391,0.00182871488847914,0.711,0.79,0.582962962962963,0.684074074074074,0.380708009546459,19.1461543182677,528.408019399439,"80%"
0.8,"Stab-IPCW",0.963943703703704,0.000881275605356869,0.909,0.9345,0.961111111111111,0.968148148148148,0.236452058423351,35.9906573621245,40.678024381248,"80%"
0.8,"Clip-IPCW",0.944682037037037,0.000619140049406376,0.8895,0.909,0.92962962962963,0.958888888888889,0.306189854418033,42.5735528902223,5.37132157114934,"80%"
0.8,"Clip-AIPCW",0.942737962962963,0.00062229165457356,0.886,0.90695,0.922962962962963,0.957037037037037,0.312654047514052,42.5735528902223,5.37132157114934,"80%"
