"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"A","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92599,0.00281478761062523,0.92825,0.882425,0.8889,0.84,0.96,0.02,0.003065,0.03212,0.23063992036567,0.908003502457396,0.0327616121752766,0.0281478761062523,2.10537183096003,67.9077087780945,0.111327269336943,2.10537183096003,0.804095153725495,NA
"B","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.918785,0.00279110469241847,0.92225,0.86895,0.879,0.77,0.87,0.02,0.00479500000000001,0.028375,0.401952902871272,0.885163845614652,0.0274204082369098,0.0279110469241847,2.13506276191206,67.2345975536341,0.111149557665813,2.13511986475672,0.813909653589861,NA
"C","C1",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92119,0.00261926410360705,0.92525,0.874925,0.88815,0.81,0.91,0.02,0.00360500000000001,0.0284,0.449027724026188,0.887408786108517,0.0314657100522284,0.0261926410360705,2.10476604850431,67.3728306206116,0.120384176678356,2.10476604850431,0.812201560434386,NA
"A","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.921415,0.00315400222740965,0.9195,0.8674,0.8803,0.78,0.9,0.02,0.00485000000000001,0.031115,0.241032500097139,0.902444000681329,0.0372774202514882,0.0315400222740965,2.19143785711321,68.0550722222044,0.120790462578101,2.19143785711321,0.859477648366655,NA
"B","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.92422,0.00256066121511337,0.9255,0.8818,0.89155,0.81,0.95,0.02,0.00277,0.02976,0.400866578773334,0.888544462985903,0.0271343458972706,0.0256066121511337,2.31295338417217,66.6869601388084,0.115526651766081,2.31295338417217,0.872995547640317,NA
"C","C2",300,0.4,"weibull_cox","Clip-AIPCW",100,0.9168,0.00278076909643299,0.91575,0.872825,0.88325,0.76,0.91,0.02,0.004845,0.02649,0.469353135227163,0.882232039860376,0.0323770401252605,0.0278076909643299,2.19963021922932,67.3385333409848,0.112895068382779,2.19963021922932,0.862785478776418,NA
"A","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.922825,0.0030527713440066,0.92525,0.871225,0.88145,0.83,0.93,0.02,0.00453,0.031885,0.237293938053551,0.903911951593697,0.0334921971916934,0.030527713440066,2.09254190969436,68.0027349463268,0.115044048571667,2.09254190969436,0.797742965864665,NA
"B","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.91873,0.00276573934806123,0.92475,0.8675,0.88535,0.74,0.92,0.02,0.00480000000000001,0.02833,0.395376204828751,0.883333429129389,0.025324360452403,0.0276573934806123,2.12861827630978,67.0136017729037,0.110589191736261,2.12861827630978,0.79752598565501,NA
"C","C3",300,0.4,"weibull_cox","Clip-AIPCW",100,0.9198,0.0027457405028682,0.9225,0.870425,0.8858,0.79,0.9,0.02,0.00439000000000001,0.02858,0.45803027667275,0.885326237064635,0.0310546927113108,0.027457405028682,2.10685990358469,67.2255595741963,0.117155127463343,2.10685990358469,0.802574017052129,NA
"A","C1",600,0.4,"weibull_cox","Clip-AIPCW",100,0.914975,0.00232660691726702,0.91525,0.86995,0.8867,0.77,0.91,0.02,0.00399500000000001,0.022965,0.253634085713709,0.898792657868291,0.0237741902325215,0.0232660691726702,2.12103861752652,134.572986287301,0.100364525681898,2.12103861752652,0.796694482959282,NA
