"rep","setting","mech","n","cens","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
1,"B","C2",600,0.6,"H-IPCW",0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA
1,"B","C2",600,0.6,"Clip-IPCW",0.11,0.915,0,0.015,0.475657655871071,0.41616656784071,-0.865142335457966,0.88,3.62062980843359,5.23978415482853,69.839673647704,1.56417278251564,0.109756097560976
1,"B","C2",600,0.6,"H-AIPCW",0.14,0.873,0.027,0.027,0.555507307110171,0.486029324992381,-0.709958957471763,0.834,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA
1,"B","C2",600,0.6,"Clip-AIPCW",0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,3.62062980843359,5.23978415482853,69.839673647704,1.56417278251564,0.109756097560976
1,"B","C2",600,0.6,"DR-COSARC (fixed)",NA,0.9445,0,0.0445,0.421023528498321,0.390540974178659,-0.996723873827635,0.932539682539683,NA,NA,NA,NA,NA
1,"B","C2",600,0.6,"DR-COSARC (adaptive)",NA,0.909,0,0.00900000000000001,0.490460772052501,0.441710460114036,-0.828853171700243,0.878,NA,NA,NA,NA,NA
1,"B","C2",600,0.6,"KM de-censoring",NA,0.9455,0,0.0455,0.427452751160007,0.360991269714311,-1.06008605367601,0.918,NA,NA,NA,NA,NA
1,"B","C2",600,0.6,"Oracle",NA,0.887,0.013,0.013,1.7155712379689,0.589655927797038,-0.438658544388135,0.866,NA,NA,NA,NA,NA
2,"B","C2",600,0.6,"H-IPCW",0.15,0.899,0.001,0.001,0.561381367706343,0.505335096961523,-0.679256550971293,0.846,144.353115325386,103.586203470524,5.23002888655876,6.71391594603351,NA
2,"B","C2",600,0.6,"Clip-IPCW",0.09,0.956,0,0.0559999999999999,0.410298375752431,0.3693356805573,-0.992772384610336,0.936,3.65478383640908,4.8749655466058,78.0848894413135,1.44300176028724,0.106382978723404
