"setting","mech","n","cens","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"B","C2",600,0.6,"Clip-AIPCW",100,0.93411,0.00202531429160957,0.935,0.92,0.000630000000000002,0.03537,0.387614840347675,0.900336412830923,0.0240645176577676,0.0202531429160957,3.81594876135097,80.3105226148554,0.103933269292278
"C","C2",600,0.6,"Clip-AIPCW",99,0.92209595959596,0.00268523871291836,0.9255,0.828282828282828,0.0038989898989899,0.0298939393939394,0.453695074503586,0.889059890914569,0.0275895498546689,0.0267177878498611,3.5790876608207,81.6406502118326,0.103599331485791
"B","C3",600,0.6,"Clip-AIPCW",100,0.9294,0.00219497819873667,0.9315,0.92,0.001375,0.03215,0.377997599491457,0.901258540060664,0.0237007863314126,0.0219497819873667,3.33432792410441,80.4926046083533,0.103397504903597
"C","C3",600,0.6,"Clip-AIPCW",100,0.925165,0.00260564708223729,0.92875,0.83,0.002845,0.030855,0.442835297040665,0.892488241500145,0.0268514431641951,0.0260564708223729,3.35049030556194,79.4945028605026,0.104073355902099
"B","C2",1200,0.6,"Clip-AIPCW",100,0.93301,0.00150406822056754,0.93225,0.98,1.00000000000011e-05,0.03303,0.390344310614883,0.898375080918056,0.0154971486461741,0.0150406822056754,3.77460949278972,160.828640849546,0.102147570079968
"C","C2",1200,0.6,"Clip-AIPCW",100,0.910145,0.00938639218940554,0.9185,0.8,0.010505,0.031155,0.477218258354217,0.877814340091133,0.0217132366648698,0.0938639218940554,3.63143580352157,163.435220761815,0.101775335775168
"B","C3",1200,0.6,"Clip-AIPCW",100,0.92995,0.00176193620540563,0.93175,0.93,0.000740000000000003,0.03143,0.388026478211188,0.908279592444509,0.0150618254490811,0.0176193620540563,3.33684857228611,161.816714153381,0.102066426378923
"C","C3",1200,0.6,"Clip-AIPCW",100,0.92489,0.0017841980344857,0.92475,0.93,0.000590000000000003,0.02607,0.45713953657873,0.892758494095373,0.0183941141222793,0.017841980344857,3.28175697451285,162.257811537918,0.101787465442875
"B","C2",600,0.8,"Clip-AIPCW",100,0.947875,0.00264501985824399,0.951,0.98,0.00118,0.050235,0.338298531521161,0.911851490030921,0.0369744656636321,0.0264501985824399,7.24570464148101,34.9603459958983,0.108005825617477
"C","C2",600,0.8,"Clip-AIPCW",100,0.925115,0.00378203391782194,0.92825,0.74,0.00620500000000001,0.037525,0.442910643845689,0.887476745433349,0.0366727267719335,0.0378203391782194,7.04412076790082,34.8439739001629,0.108186967464513
"B","C3",600,0.8,"Clip-AIPCW",100,0.95009,0.00252165750363854,0.949,0.98,0.00072,0.05153,0.332826945829101,0.927662145115879,0.0261665219065673,0.0252165750363854,5.85754661149361,35.4647963170024,0.107741262378262
"C","C3",600,0.8,"Clip-AIPCW",100,0.928355,0.0097983334364224,0.94625,0.8,0.012295,0.052945,0.387774349852725,0.895224713949736,0.0291791748071162,0.097983334364224,5.69461311418798,35.069295042589,0.106926403837494
"B","C2",1200,0.8,"Clip-AIPCW",100,0.94949,0.00148528098215778,0.95025,1,0,0.04949,0.345798082502454,0.916878337492081,0.0210137040422615,0.0148528098215778,7.39880661478002,69.4550520301501,0.104279260834171
"C","C2",1200,0.8,"Clip-AIPCW",100,0.927375,0.00245907282149475,0.92975,0.88,0.00207,0.031515,0.437415540170618,0.896681208509225,0.0223405687058546,0.0245907282149475,7.10942976202838,68.2596180157725,0.103740191925352
"B","C3",1200,0.8,"Clip-AIPCW",100,0.9484,0.00153313569213721,0.951,1,0,0.0484,0.338130736654931,0.929443301898198,0.0139156913104044,0.0153313569213721,5.49415666839283,71.5002663710532,0.103648877958428
"C","C3",1200,0.8,"Clip-AIPCW",100,0.93908,0.0020934809830191,0.94175,0.97,0.000620000000000002,0.04032,0.409857848888284,0.909814688792023,0.018348753845337,0.020934809830191,5.46413985640387,69.0583964444615,0.103400279797361
"B","C2",600,0.6,"Clip-IPCW",100,0.93502,0.00213323768724984,0.9375,0.92,0.000690000000000003,0.0364,0.386374606100099,0.901334456200693,0.0242584984587824,0.0213323768724984,3.81594876135097,80.3105226148554,0.103933269292278
"C","C2",600,0.6,"Clip-IPCW",99,0.922338383838384,0.00277604816750446,0.9285,0.757575757575758,0.00381818181818183,0.0299747474747475,0.452760864766469,0.88928223207929,0.0276231524043299,0.027621330514698,3.5790876608207,81.6406502118326,0.103599331485791
"B","C3",600,0.6,"Clip-IPCW",100,0.92957,0.00225726682856802,0.932,0.9,0.001415,0.0324,0.376437083051351,0.901183873708292,0.0237835356004225,0.0225726682856802,3.33432792410441,80.4926046083533,0.103397504903597
