"rep","n","setting","mech","cens","backend","method","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac"
1,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA
1,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.11,0.915,0,0.015,0.475657655871071,0.41616656784071,-0.865142335457966,0.88,3.62062980843359,5.23978415482853,69.839673647704,1.56417278251564,0.109756097560976
1,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.14,0.873,0.027,0.027,0.555507307110171,0.486029324992381,-0.709958957471763,0.834,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA
1,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,3.62062980843359,5.23978415482853,69.839673647704,1.56417278251564,0.109756097560976
2,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.15,0.899,0.001,0.001,0.561381367706343,0.505335096961523,-0.679256550971293,0.846,144.353115325386,103.586203470524,5.23002888655876,6.71391594603351,NA
2,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.09,0.956,0,0.0559999999999999,0.410298375752431,0.3693356805573,-0.992772384610336,0.936,3.65478383640908,4.8749655466058,78.0848894413135,1.44300176028724,0.106382978723404
2,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.11,0.9375,0,0.0375,0.463488140907678,0.417215173319781,-0.87087622664892,0.912,144.353115325386,103.586203470524,5.23002888655876,6.71391594603351,NA
2,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.09,0.956,0,0.0559999999999999,0.410298375752431,0.3693356805573,-0.992772384610336,0.936,3.65478383640908,4.8749655466058,78.0848894413135,1.44300176028724,0.106382978723404
3,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.08,0.9635,0,0.0635,0.362088256305397,0.318132668794538,-1.14662128052606,0.952,11.976383934718,15.4070212734592,65.5657102869012,1.63449733108706,NA
3,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.11,0.934,0,0.034,0.443355793110546,0.389534759085957,-0.944136672169509,0.904,2.88085451174374,4.12280845599058,88.2568352900301,1.31397488351634,0.102040816326531
3,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.09,0.956,0,0.0559999999999999,0.390094330983392,0.342738955037236,-1.07212068039237,0.938,11.976383934718,15.4070212734592,65.5657102869012,1.63449733108706,NA
3,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.12,0.925,0,0.025,0.468882196617613,0.411962393042636,-0.888157707610055,0.896,2.88085451174374,4.12280845599058,88.2568352900301,1.31397488351634,0.102040816326531
4,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,8.46245824159678,15.6982515692755,55.6001087752921,1.82494247775646,NA
4,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,2.46761987467966,5.05236894333232,69.2770864687763,1.57310521194783,0.105263157894737
4,600,"B","C2",0.6,"weibull_cox","H-AIPCW",0.09,0.949,0,0.0489999999999999,0.387885788566152,0.339750550660619,-1.06891889743771,0.927855711422846,8.46245824159678,15.6982515692755,55.6001087752921,1.82494247775646,NA
4,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,2.46761987467966,5.05236894333232,69.2770864687763,1.57310521194783,0.105263157894737
5,600,"B","C2",0.6,"weibull_cox","H-IPCW",0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA
