"rep","n","setting","mech","cens","backend","method","fit_ok","error_msg","tau","coverage","shortfall","abs_cal_err","mean_lpb","med_lpb","mean_loglpb","worst_slice","max_raw_wt","max_norm_wt","ess","wt_cv","clipfrac","clip_level","nu_hat_c","runtime"
1,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA,NA,NA,NA
1,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.12,0.8985,0.00150000000000006,0.00150000000000006,0.502894209055507,0.439996611820177,-0.80946089256843,0.858,3.83008182764388,5.49353208030368,69.1529241149471,1.57508926282138,0.0731707317073171,3.83008182764388,0.697198409266803,NA
1,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.14,0.873,0.027,0.027,0.555507307110171,0.486029324992381,-0.709958957471763,0.834,15.8218719418736,20.4382282251828,49.2987890817807,1.97090308733088,NA,NA,NA,NA
1,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.13,0.887,0.013,0.013,0.529482462163346,0.463259439410969,-0.757940677590261,0.851,3.83008182764388,5.49353208030368,69.1529241149471,1.57508926282138,0.0731707317073171,3.83008182764388,0.697198409266803,NA
1,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.929,0,0.029,0.437562531497596,0.391678749884293,-0.935012910657157,0.892,NA,NA,NA,NA,NA,NA,NA,NA
2,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.15,0.899,0.001,0.001,0.561381367706343,0.505335096961523,-0.679256550971293,0.846,144.353115325386,103.586203470524,5.23002888655876,6.71391594603351,NA,NA,NA,NA
2,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.09,0.956,0,0.0559999999999999,0.410298375752431,0.3693356805573,-0.992772384610336,0.936,3.82983791665487,5.06338462345297,77.2496947663784,1.4545183017547,0.0851063829787234,3.82983791665487,0.756379023413614,NA
2,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.11,0.9375,0,0.0375,0.463488140907678,0.417215173319781,-0.87087622664892,0.912,144.353115325386,103.586203470524,5.23002888655876,6.71391594603351,NA,NA,NA,NA
2,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.09,0.956,0,0.0559999999999999,0.410298375752431,0.3693356805573,-0.992772384610336,0.936,3.82983791665487,5.06338462345297,77.2496947663784,1.4545183017547,0.0851063829787234,3.82983791665487,0.756379023413614,NA
2,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.9515,0,0.0515,0.420102806929536,0.392413253134995,-0.950364611291244,0.928,NA,NA,NA,NA,NA,NA,NA,NA
3,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.08,0.9635,0,0.0635,0.362088256305397,0.318132668794538,-1.14662128052606,0.952,11.976383934718,15.4070212734592,65.5657102869012,1.63449733108706,NA,NA,NA,NA
3,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.11,0.934,0,0.034,0.443355793110546,0.389534759085957,-0.944136672169509,0.904,3.31159604206023,4.64315623062641,86.1763356827442,1.33882629979277,0.0612244897959184,3.31159604206023,0.71322089491989,NA
3,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.09,0.956,0,0.0559999999999999,0.390094330983392,0.342738955037236,-1.07212068039237,0.938,11.976383934718,15.4070212734592,65.5657102869012,1.63449733108706,NA,NA,NA,NA
3,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.12,0.925,0,0.025,0.468882196617613,0.411962393042636,-0.888157707610055,0.896,3.31159604206023,4.64315623062641,86.1763356827442,1.33882629979277,0.0612244897959184,3.31159604206023,0.71322089491989,NA
3,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.9455,0,0.0455,0.40881877386845,0.366495216854759,-1.01304204235579,0.914,NA,NA,NA,NA,NA,NA,NA,NA
4,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,8.46245824159678,15.6982515692755,55.6001087752921,1.82494247775646,NA,NA,NA,NA
4,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,3.07932256733785,6.0818902308474,66.4851928716386,1.61887186296949,0.0657894736842105,3.07932256733785,0.506310119133604,NA
4,600,"B","C2",0.6,"weibull_cox","H-AIPCW",TRUE,NA,0.09,0.949,0,0.0489999999999999,0.387885788566152,0.339750550660619,-1.06891889743771,0.927855711422846,8.46245824159678,15.6982515692755,55.6001087752921,1.82494247775646,NA,NA,NA,NA
4,600,"B","C2",0.6,"weibull_cox","Clip-AIPCW",TRUE,NA,0.08,0.959,0,0.0589999999999999,0.360342813376388,0.315625560100522,-1.14257399664549,0.942885771543086,3.07932256733785,6.0818902308474,66.4851928716386,1.61887186296949,0.0657894736842105,3.07932256733785,0.506310119133604,NA
4,600,"B","C2",0.6,"weibull_cox","DR-COSARC",TRUE,NA,NA,0.941,0,0.0409999999999999,0.410358869397067,0.363023469949244,-1.0063963625956,0.916833667334669,NA,NA,NA,NA,NA,NA,NA,NA
5,600,"B","C2",0.6,"weibull_cox","H-IPCW",TRUE,NA,0.08,0.956,0,0.0559999999999999,0.39911052369272,0.335481558637562,-1.08866458069372,0.943564356435644,31.4615989232579,31.5263069149434,26.8128424817519,2.82563304902234,NA,NA,NA,NA
5,600,"B","C2",0.6,"weibull_cox","Clip-IPCW",TRUE,NA,0.09,0.9405,0,0.0405,0.430087025558648,0.361519571945178,-1.01391538773119,0.922,3.27237586336296,4.65857363297009,84.0479940381451,1.36501830933367,0.0957446808510638,3.27237586336296,0.702441588602013,NA
