"setting","mech","n","cens","backend","method","R","mean_cov","mcse_cov","med_cov","cov_q05","cov_q10","pac_success_nominal","pac_success_tol","pac_tol","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac","mean_clip_level","mean_nu_hat_c","mean_runtime"
"B","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93517,0.00200411470669115,0.9375,0.896475,0.9078,0.93,1,0.02,0.000620000000000002,0.03641,0.387040439659999,0.901594661417997,0.0238081558048557,0.0200411470669115,3.60074657188379,81.835038249787,0.11072283151632,3.60074657188379,0.764554237318984,NA
"C","C2",600,0.6,"weibull_cox","Clip-AIPCW",100,0.922245,0.002674075833939,0.92525,0.87285,0.88545,0.83,0.91,0.02,0.00387,0.029985,0.452615801474219,0.889217580642485,0.0275600354781259,0.02674075833939,3.49479656928462,82.4808966072358,0.108023232097498,3.49479656928462,0.760899047320981,NA
"B","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.93053,0.00212828261015469,0.93425,0.899425,0.90395,0.95,0.98,0.02,0.001115,0.03276,0.376324864137269,0.902797311115245,0.0230228257399153,0.0212828261015469,3.12346449085996,82.2759905624759,0.10938168720689,3.12346449085996,0.656284034609691,NA
"C","C3",600,0.6,"weibull_cox","Clip-AIPCW",100,0.92622,0.00256868594319109,0.93025,0.883175,0.89235,0.83,0.95,0.02,0.00254500000000001,0.03131,0.442345036045009,0.893492516963696,0.026307428762249,0.0256868594319109,3.07745303684471,81.434476014533,0.116115472607836,3.07745303684471,0.646929642455882,NA
"B","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.93292,0.00144808686050097,0.9325,0.909875,0.91395,0.98,1,0.02,1.00000000000011e-05,0.03294,0.391042639290595,0.898050857315571,0.0143586808994321,0.0144808686050097,3.64381426765787,162.706962398466,0.107352215863552,3.64381426765787,0.76367962738857,NA
"C","C2",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92014,0.00194982620308124,0.9205,0.890425,0.8944,0.82,1,0.02,0.00132500000000001,0.02279,0.474310608109305,0.887928433495055,0.0190191291264157,0.0194982620308124,3.48579223781703,165.247765713882,0.109451704137873,3.48579223781703,0.768195858740403,NA
"B","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.931025,0.00172067603287226,0.93475,0.899475,0.911,0.94,0.98,0.02,0.000715000000000002,0.032455,0.385136950513592,0.909276758806021,0.0145657686430074,0.0172067603287226,3.16702690242961,164.548685771593,0.108448959002137,3.16702690242961,0.663598778944461,NA
"C","C3",1200,0.6,"weibull_cox","Clip-AIPCW",100,0.92501,0.00169906361614778,0.92525,0.8995,0.90345,0.94,1,0.02,0.000275000000000003,0.02556,0.454983821185238,0.892713977837003,0.018004208262279,0.0169906361614778,3.15301401674967,164.30076126421,0.109296169206987,3.15301401674967,0.662078346104884,NA
"B","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.94917,0.00255038341344112,0.95375,0.921275,0.925,0.97,0.99,0.02,0.001255,0.05168,0.341406432154092,0.920355156470605,0.0302973479520781,0.0255038341344112,6.49019112356974,36.2044853460339,0.124451618191088,6.49019112356974,0.57853737450094,NA
"C","C2",600,0.8,"weibull_cox","Clip-AIPCW",100,0.926265,0.00357439304023223,0.92825,0.868375,0.87735,0.76,0.88,0.02,0.00522500000000001,0.036715,0.442910643845689,0.888805179279401,0.0332512626022902,0.0357439304023223,6.61710248239569,35.710092643435,0.118339732056403,6.61710248239569,0.586347098304829,NA
"B","C3",600,0.8,"weibull_cox","Clip-AIPCW",100,0.950905,0.00222459501478314,0.9495,0.9114,0.9271,0.99,0.99,0.02,0.000295,0.051495,0.332826945829101,0.928754514900854,0.023802851879045,0.0222459501478314,5.07801248732296,37.2317926302582,0.121486372668152,5.11983876550166,0.460192653721339,NA
